Gym Name,Latitude,Longitude
London Aquatics Centre,51.5406075,-0.0112259
London City Island Gym,51.5123758,0.0056216
London Dock - Residents Spa & Gym,51.5083341,-0.0666892
London Kettlebell Club,51.358521,-0.2998869
London Lifestyle Academy,51.4899057,-0.191566
London Shoot Fighters,51.5082383,-0.0091559
London Welsh School/Ysgol Gymraeg Llundain,51.5210695,-0.3351609
Lotus Health And Fitness,51.6068299,0.0009639
LSBU Active Gym & Sports Centre,51.497493,-0.1027605
Make A Difference,51.4307134,0.0834692
Manor health clubq,51.5602288,-0.2196425
Maple Quays Residents Gym,51.4985294,-0.048881
Marchon,51.5316498,-0.008492
Martial Fitness,51.4641059,-0.2158173
Mayfair Health Club,51.5131807,-0.1560083
MBA Fitness,51.5641837,-0.3543601
Meath Gardens Outdoor Gym,51.5287751,-0.0432881
Meridian Fitness,51.4810976,-0.0181379
Metal5,51.4805463,-0.0159652
Miguel's Gymnasium,51.4650238,-0.1015817
Milo and the Bull,51.499405,-0.0814154
MMA Fitness Gym,51.4502183,0.0535802
MMA LDN,51.5146479,-0.065321
Mob45,51.5199979,-0.1053958
Momentum Training,51.5378672,-0.075297
Morden Leisure Centre,51.3949465,-0.2051318
More Energy,51.5159612,-0.4120723
More Yoga,51.5597138,-0.2805074
More Yoga,51.5487453,-0.0037893
More Yoga,51.5486582,-0.117797
More Yoga,51.5085682,-0.0082107
More Yoga,51.4937194,-0.0958232
More Yoga,51.4932017,0.063837
More yoga,51.4907018,-0.0382466
More Yoga,51.48034,-0.0202869
MoreYoga,51.5366248,-0.1016518
MoreYoga,51.4857929,0.0090031
MoreYoga,51.4583151,-0.192669
Motion Training CrossFit,51.3942116,-0.2976357
Movers and Shapers,51.5477431,-0.1908505
Mudra Yoga,51.5588377,-0.0871667
Muscle Basin Gym,51.5511034,0.0055086
Muscle Hut Leytonstone,51.5592813,0.0069926
Muscleworks Gym,51.5224963,-0.0640094
Muslceworks Gym,51.5594021,-0.0736253
My Local Pilates,51.5442108,-0.0326358
Myddleton Road Outdoor Gym,51.6065249,-0.1158644
MYPT Academy,51.3729865,-0.0979385
MYPT Cycle,51.3731754,-0.0980882
MYPT Therapy,51.3730003,-0.0978211
N4 workout,51.5740223,-0.1128196
New Barnet Leisure Centre,51.6528956,-0.1691914
New City Fitness,51.5305001,-0.0786098
Norman Booth Building,51.5963018,0.0902252
North Gym,51.4291502,-0.3717936
North London Boxing Club,51.6320784,-0.1282956
Novo Armory,51.4863293,0.0153317
Novo Gym,51.4860486,0.00842
Nuffield Health Fitness & Wellbeing,51.6486274,-0.0810842
Nuffield Health Fitness & Wellbeing,51.617054,-0.0055542
Nuffield Health Fitness & Wellbeing,51.5573716,0.0733804
Nuffield Health Fitness & Wellbeing,51.5371752,-0.101612
Nuffield Health Fitness & Wellbeing,51.523972,-0.1181935
Nuffield Health Fitness & Wellbeing,51.5207346,-0.0963974
Nuffield Health Fitness & Wellbeing,51.5191877,-0.1798674
Nuffield Health Fitness & Wellbeing,51.5139386,-0.1239584
Nuffield Health Fitness & Wellbeing,51.5125848,-0.4443462
Nuffield Health Fitness & Wellbeing,51.5096752,-0.0914835
Nuffield Health Fitness & Wellbeing,51.5006021,-0.01712
Nuffield Health Fitness & Wellbeing,51.497062,-0.0159081
Nuffield Health Fitness & Wellbeing,51.4770463,-0.2222436
Nuffield Health Fitness & Wellbeing,51.4563514,-0.1947233
Nuffield Health Fitness & Wellbeing,51.4510126,-0.3426914
Nuffield Health Fitness & Wellbeing,51.4472135,-0.1944599
Nuffield Health Fitness & Wellbeing,51.4230473,0.0876679
Nuffield Health Fitness & Wellbeing,51.4197623,-0.2045963
Nuffield Health Fitness & Wellbeing,51.4155435,-0.3031612
Nuffield Health Fitness & Wellbeing,51.4141907,-0.1801802
Nuffield Health Fitness & Wellbeing,51.3565866,-0.1157078
Nuffield Health Gym,51.3910516,0.0197157
NXT Phase,51.5344623,-0.1971582
Oakley Fitness,51.3892695,0.072708
Odyssey Gym,51.491812,-0.0259487
Old Master Gym,51.5801515,-0.2479152
Oliveira Team Brazilian Jiu Jitsu,51.4890766,-0.1124436
One One One Pilates,51.4844343,0.0019358
Orange Theory Fitness,51.5449561,-0.1035093
Orange Theory Fitness,51.4562521,-0.1929056
Origin Health & Fitness,51.5236607,0.1761519
Outdoor Gym,51.6359556,-0.1520486
Outdoor Gym,51.613352,-0.0150963
Outdoor gym,51.5322284,-0.1318529
Outdoor gym,51.5298813,-0.0618853
Outdoor Gym,51.5200854,0.2176133
Outdoor gym,51.4980287,-0.0890262
Outdoor gym,51.4826723,-0.089771
Override Spin Studio,51.6115609,-0.1754068
Oxbow Gym,51.5134435,-0.0002247
Oxleas Wood Gym,51.4668893,0.0704222
Ozone Health and Fitness Club,51.5263153,-0.1133519
Paddington Recreation Ground Fitness Suite,51.5308272,-0.1905766
Palewell Common Outdoor Gym,51.4590804,-0.2591315
Paper Dress Yoga,51.5474134,-0.054528
Park View Health Clubs,51.6179595,-0.1083136
Park View Healthclubs,51.6060298,-0.1872506
Parkour Generations,51.510003,-0.0048702
Parkour Generations,51.4994626,-0.019678
Patello Brazilian Jiu Jitsu,51.3585959,-0.2999906
Paul May Fitness,51.4644178,-0.2697835
Pause,51.5653881,-0.0105304
Peacock Gym,51.5097388,0.0135065
Pembury Outdoor Gym,51.5508087,-0.0574539
Perfect Timing Academy,51.6171164,-0.1770084
Performance 360,51.4182294,-0.0815642
Performance RX,51.5423227,-0.1797374
pH.7,51.5805123,-0.154494
Phoenix Fitness Centre and Janet Adegoke Swimming Pool,51.5128859,-0.236308
